x,n_threshold
10,26
11,28
12,30
13,31
14,33
15,34
16,36
17,38
18,39
19,41
20,42
21,44
22,45
23,47
24,48
25,50
26,51
27,53
28,55
29,56
30,58
31,59
32,61
33,62
34,64
35,65
36,67
37,68
38,70
39,71
40,73
41,74
42,76
43,77
44,79
45,80
46,82
47,83
48,85
49,86
50,88
51,89
52,91
53,93
54,94
55,96
56,97
57,99
58,100
59,102
60,103
61,105
62,106
63,108
64,109
65,111
66,112
67,114
68,115
69,117
70,118
71,120
72,121
73,123
74,124
75,126
76,127
77,129
78,130
79,132
80,133
81,135
82,136
83,138
84,139
85,141
86,142
87,144
88,145
89,147
90,148
91,150
92,151
93,153
94,154
95,156
96,157
97,159
98,160
99,162
100,163
101,165
102,166
103,168
104,169
105,171
106,173
107,174
108,176
109,177
110,179
111,180
112,182
113,183
114,185
115,186
116,188
117,189
118,191
119,192
120,194
121,195
122,197
123,198
124,200
125,201
126,203
127,204
128,206
129,207
130,209
131,210
132,212
133,213
134,215
135,216
136,218
137,219
138,221
139,222
140,224
141,225
142,227
143,228
144,230
145,231
146,233
147,234
148,236
149,237
150,239
151,240
152,242
153,243
154,245
155,246
156,248
157,249
158,251
159,252
160,254
161,255
162,257
163,258
164,260
165,261
166,263
167,264
168,266
169,267
170,269
171,271
172,272
173,274
174,275
175,277
176,278
177,280
178,281
179,283
180,284
181,286
182,287
183,289
184,290
185,292
186,293
187,295
188,296
189,298
190,299
191,301
192,302
193,304
194,305
195,307
196,308
197,310
198,311
199,313
200,314
201,316
202,317
203,319
204,320
205,322
206,323
207,325
208,326
209,328
210,329
211,331
212,332
213,334
214,335
215,337
216,338
217,340
218,341
219,343
220,344
221,346
222,347
223,349
224,350
225,352
226,353
227,355
228,356
229,358
230,359
231,361
232,362
233,364
234,365
235,367
236,369
237,370
238,372
239,373
240,375
241,376
242,378
243,379
244,381
245,382
246,384
247,385
248,387
249,388
250,390
251,391
252,393
253,394
254,396
255,397
256,399
257,400
258,402
259,403
260,405
261,406
262,408
263,409
264,411
265,412
266,414
267,415
268,417
269,418
270,420
271,421
272,423
273,424
274,426
275,427
276,429
277,430
278,432
279,433
280,435
281,436
282,438
283,439
284,441
285,442
286,444
287,445
288,447
289,448
290,450
291,451
292,453
293,454
294,456
295,457
296,459
297,460
298,462
299,464
300,465
301,467
302,468
303,470
304,471
305,473
306,474
307,476
308,477
309,479
310,480
311,482
312,483
313,485
314,486
315,488
316,489
317,491
318,492
319,494
320,495
321,497
322,498
323,500
324,501
325,503
326,504
327,506
328,507
329,509
330,510
331,512
332,513
333,515
334,516
335,518
336,519
337,521
338,522
339,524
340,525
341,527
342,528
343,530
344,531
345,533
346,534
347,536
348,537
349,539
350,540
351,542
352,543
353,545
354,546
355,548
356,549
357,551
358,552
359,554
360,555
361,557
362,559
363,560
364,562
365,563
366,565
367,566
368,568
369,569
370,571
371,572
372,574
373,575
374,577
375,578
376,580
377,581
378,583
379,584
380,586
381,587
382,589
383,590
384,592
385,593
386,595
387,596
388,598
389,599
390,601
391,602
392,604
393,605
394,607
395,608
396,610
397,611
398,613
399,614
400,616
401,617
402,619
403,620
404,622
405,623
406,625
407,626
408,628
409,629
410,631
411,632
412,634
413,635
414,637
415,638
416,640
417,641
418,643
419,644
420,646
421,647
422,649
423,650
424,652
425,654
426,655
427,657
428,658
429,660
430,661
431,663
432,664
433,666
434,667
435,669
436,670
437,672
438,673
439,675
440,676
441,678
442,679
443,681
444,682
445,684
446,685
447,687
448,688
449,690
450,691
451,693
452,694
453,696
454,697
455,699
456,700
457,702
458,703
459,705
460,706
461,708
462,709
463,711
464,712
465,714
466,715
467,717
468,718
469,720
470,721
471,723
472,724
473,726
474,727
475,729
476,730
477,732
478,733
479,735
480,736
481,738
482,739
483,741
484,742
485,744
486,746
487,747
488,749
489,750
490,752
491,753
492,755
493,756
494,758
495,759
496,761
497,762
498,764
499,765
500,767
501,768
502,770
503,771
504,773
505,774
506,776
507,777
508,779
509,780
510,782
511,783
512,785
513,786
514,788
515,789
516,791
517,792
518,794
519,795
520,797
521,798
522,800
523,801
524,803
525,804
526,806
527,807
528,809
529,810
530,812
531,813
532,815
533,816
534,818
535,819
536,821
537,822
538,824
539,825
540,827
541,828
542,830
543,831
544,833
545,834
546,836
547,838
548,839
549,841
550,842
551,844
552,845
553,847
554,848
555,850
556,851
557,853
558,854
559,856
560,857
561,859
562,860
563,862
564,863
565,865
566,866
567,868
568,869
569,871
570,872
571,874
572,875
573,877
574,878
575,880
576,881
577,883
578,884
579,886
580,887
581,889
582,890
583,892
584,893
585,895
586,896
587,898
588,899
589,901
590,902
591,904
592,905
593,907
594,908
595,910
596,911
597,913
598,914
599,916
600,917
601,919
602,920
603,922
604,923
605,925
606,926
607,928
608,930
609,931
610,933
611,934
612,936
613,937
614,939
615,940
616,942
617,943
618,945
619,946
620,948
621,949
622,951
623,952
624,954
625,955
626,957
627,958
628,960
629,961
630,963
631,964
632,966
633,967
634,969
635,970
636,972
637,973
638,975
639,976
640,978
641,979
642,981
643,982
644,984
645,985
646,987
647,988
648,990
649,991
650,993
651,994
652,996
653,997
654,999
655,1000
656,1002
657,1003
658,1005
659,1006
660,1008
661,1009
662,1011
663,1012
664,1014
665,1015
666,1017
667,1019
668,1020
669,1022
670,1023
671,1025
672,1026
673,1028
674,1029
675,1031
676,1032
677,1034
678,1035
679,1037
680,1038
681,1040
682,1041
683,1043
684,1044
685,1046
686,1047
687,1049
688,1050
689,1052
690,1053
691,1055
692,1056
693,1058
694,1059
695,1061
696,1062
697,1064
698,1065
699,1067
700,1068
701,1070
702,1071
703,1073
704,1074
705,1076
706,1077
707,1079
708,1080
709,1082
710,1083
711,1085
712,1086
713,1088
714,1089
715,1091
716,1092
717,1094
718,1095
719,1097
720,1098
721,1100
722,1101
723,1103
724,1104
725,1106
726,1107
727,1109
728,1111
729,1112
730,1114
731,1115
732,1117
733,1118
734,1120
735,1121
736,1123
737,1124
738,1126
739,1127
740,1129
741,1130
742,1132
743,1133
744,1135
745,1136
746,1138
747,1139
748,1141
749,1142
750,1144
751,1145
752,1147
753,1148
754,1150
755,1151
756,1153
757,1154
758,1156
759,1157
760,1159
761,1160
762,1162
763,1163
764,1165
765,1166
766,1168
767,1169
768,1171
769,1172
770,1174
771,1175
772,1177
773,1178
774,1180
775,1181
776,1183
777,1184
778,1186
779,1187
780,1189
781,1190
782,1192
783,1193
784,1195
785,1196
786,1198
787,1200
788,1201
789,1203
790,1204
791,1206
792,1207
793,1209
794,1210
795,1212
796,1213
797,1215
798,1216
799,1218
800,1219
801,1221
802,1222
803,1224
804,1225
805,1227
806,1228
807,1230
808,1231
809,1233
810,1234
811,1236
812,1237
813,1239
814,1240
815,1242
816,1243
817,1245
818,1246
819,1248
820,1249
821,1251
822,1252
823,1254
824,1255
825,1257
826,1258
827,1260
828,1261
829,1263
830,1264
831,1266
832,1267
833,1269
834,1270
835,1272
836,1273
837,1275
838,1276
839,1278
840,1279
841,1281
842,1282
843,1284
844,1285
845,1287
846,1289
847,1290
848,1292
849,1293
850,1295
851,1296
852,1298
853,1299
854,1301
855,1302
856,1304
857,1305
858,1307
859,1308
